source_ecli,count
ECLI:CE:ECHR:2017:0905JUD007811713,65
ECLI:CE:ECHR:2019:0827JUD003263109,65
ECLI:CE:ECHR:2011:0719JUD001692408,65
ECLI:CE:ECHR:2012:0619JUD003693706,65
ECLI:CE:ECHR:2009:0918JUD001606490,65
ECLI:CE:ECHR:2015:0616JUD004016706,64
ECLI:CE:ECHR:2012:0207JUD004066008,64
ECLI:CE:ECHR:2014:0724JUD006090811,64
ECLI:CE:ECHR:2024:0829JUD002462222,64
ECLI:CE:ECHR:2008:1112JUD003450397,64
ECLI:CE:ECHR:2014:0512JUD002578194,63
ECLI:CE:ECHR:2023:1127JUD002188120,63
ECLI:CE:ECHR:2019:0716JUD001220008,63
ECLI:CE:ECHR:2023:0309JUD003634516,63
ECLI:CE:ECHR:2009:0210JUD001493903,63
ECLI:CE:ECHR:2020:1201JUD002637418,63
ECLI:CE:ECHR:2024:0111JUD004153918,63
ECLI:CE:ECHR:2005:0512JUD004622199,63
ECLI:CE:ECHR:2005:0301JUD002979896,63
ECLI:CE:ECHR:2010:0420JUD001231205,62
ECLI:CE:ECHR:2019:0618JUD007476810,62
ECLI:CE:ECHR:2014:0703JUD001325507,62
ECLI:CE:ECHR:2017:0413JUD002656207,62
ECLI:CE:ECHR:2024:0418JUD004533719,62
ECLI:CE:ECHR:2014:0701JUD005373608,62
ECLI:CE:ECHR:2024:0912JUD000893620,62
ECLI:CE:ECHR:2021:0420JUD006615214,62
ECLI:CE:ECHR:2014:0701JUD004169407,61
ECLI:CE:ECHR:2015:1029JUD005685413,61
ECLI:CE:ECHR:2021:0311JUD000686519,61
ECLI:CE:ECHR:2016:0317JUD003689404,61
ECLI:CE:ECHR:2024:0404JUD004708319,61
ECLI:CE:ECHR:2023:1130JUD000321919,61
ECLI:CE:ECHR:2007:1115JUD002698603,60
ECLI:CE:ECHR:2018:1002JUD004057510,60
ECLI:CE:ECHR:2019:0207JUD002095413,60
ECLI:CE:ECHR:2024:0418JUD005201919,60
ECLI:CE:ECHR:2014:0325JUD001715311,60
ECLI:CE:ECHR:2011:0322JUD003800304,60
ECLI:CE:ECHR:2011:1213JUD002745806,60
ECLI:CE:ECHR:2024:0704JUD005924219,60
ECLI:CE:ECHR:2017:0124JUD006036708,60
ECLI:CE:ECHR:2024:0924JUD000631921,59
ECLI:CE:ECHR:2017:1205JUD005779215,59
ECLI:CE:ECHR:2024:0305JUD003736410,59
ECLI:CE:ECHR:2020:0707JUD000529414,59
ECLI:CE:ECHR:2023:1026JUD002625918,59
ECLI:CE:ECHR:2023:1026JUD002505614,59
ECLI:CE:ECHR:2024:1107JUD004154220,59
ECLI:CE:ECHR:2023:0302JUD005213219,59
