Network,Initial Nodes,Valid Nodes,Removed Nodes,Total Edges,Connected Nodes,Non-Connected Nodes,Connected Components,Biggest Component Size,Density,Doctypebranch Distribution,Importance Distribution,Importance Pre-1998,Importance Post-1998
importance_merged_100_cutoff_balanced_importance/article_35,1585,1585,0,8179,1437,148,4,1429,0.00325774,"2: 1405, 1: 178, 3: 2","2: 823, 1: 679, 3: 83","1: 78, 2: 19, 3: 2","2: 804, 1: 601, 3: 81"
importance_merged_150_cutoff_balanced_importance/article_35,1585,1585,0,8179,1437,148,4,1429,0.00325774,"2: 1405, 1: 178, 3: 2","2: 823, 1: 679, 3: 83","1: 78, 2: 19, 3: 2","2: 804, 1: 601, 3: 81"
full_balanced_doctypebranch/full-balanced-doctypebranch,1542,1542,0,7472,1202,340,6,1192,0.00314449,"2: 514, 3: 514, 1: 514","3: 854, 1: 526, 2: 162","1: 41, 2: 12","3: 854, 1: 485, 2: 150"
split_unbalanced/article_2,1388,1388,0,14946,1250,138,3,1237,0.00776353,"2: 1131, 3: 208, 1: 49","3: 759, 2: 442, 1: 187","1: 12, 2: 7, 3: 2","3: 757, 2: 435, 1: 175"
importance_merged_100_cutoff_unbalanced/article_2,1388,1388,0,14946,1250,138,3,1237,0.00776353,"2: 1131, 3: 208, 1: 49","3: 759, 2: 442, 1: 187","1: 12, 2: 7, 3: 2","3: 757, 2: 435, 1: 175"
importance_merged_150_cutoff_unbalanced/article_2,1388,1388,0,14946,1250,138,3,1237,0.00776353,"2: 1131, 3: 208, 1: 49","3: 759, 2: 442, 1: 187","1: 12, 2: 7, 3: 2","3: 757, 2: 435, 1: 175"
split_unbalanced/article_37,1254,1254,0,572,277,977,12,244,0.00036404,"2: 1164, 3: 50, 1: 40","3: 1048, 2: 126, 1: 80","3: 4, 2: 1","3: 1044, 2: 125, 1: 80"
importance_merged_100_cutoff_unbalanced/article_37,1254,1254,0,572,277,977,12,244,0.00036404,"2: 1164, 3: 50, 1: 40","3: 1048, 2: 126, 1: 80","3: 4, 2: 1","3: 1044, 2: 125, 1: 80"
importance_merged_150_cutoff_unbalanced/article_37,1254,1254,0,572,277,977,12,244,0.00036404,"2: 1164, 3: 50, 1: 40","3: 1048, 2: 126, 1: 80","3: 4, 2: 1","3: 1044, 2: 125, 1: 80"
split_unbalanced/article_34,1181,1181,0,4819,1050,131,7,1037,0.00345800,"2: 1010, 3: 97, 1: 74","2: 550, 3: 365, 1: 266","1: 41, 2: 10, 3: 5","2: 540, 3: 360, 1: 225"
importance_merged_100_cutoff_unbalanced/article_34,1181,1181,0,4819,1050,131,7,1037,0.00345800,"2: 1010, 3: 97, 1: 74","2: 550, 3: 365, 1: 266","1: 41, 2: 10, 3: 5","2: 540, 3: 360, 1: 225"
importance_merged_150_cutoff_unbalanced/article_34,1181,1181,0,4819,1050,131,7,1037,0.00345800,"2: 1010, 3: 97, 1: 74","2: 550, 3: 365, 1: 266","1: 41, 2: 10, 3: 5","2: 540, 3: 360, 1: 225"
split_balanced_importance/article_8,1126,1126,0,6375,1000,126,2,998,0.00503256,"2: 945, 1: 115, 3: 66","1: 536, 2: 446, 3: 144","1: 88, 2: 13","1: 448, 2: 433, 3: 144"
importance_merged_100_cutoff_balanced_importance/article_8,1126,1126,0,6375,1000,126,2,998,0.00503256,"2: 945, 1: 115, 3: 66","1: 536, 2: 446, 3: 144","1: 88, 2: 13","1: 448, 2: 433, 3: 144"
importance_merged_150_cutoff_balanced_importance/article_8,1126,1126,0,6375,1000,126,2,998,0.00503256,"2: 945, 1: 115, 3: 66","1: 536, 2: 446, 3: 144","1: 88, 2: 13","1: 448, 2: 433, 3: 144"
split_balanced_importance/article_3,1082,1082,0,7300,990,92,1,990,0.00624123,"2: 838, 3: 172, 1: 72","2: 397, 1: 347, 3: 338","1: 39, 2: 2","2: 395, 3: 338, 1: 308"
importance_merged_100_cutoff_balanced_importance/article_3,1082,1082,0,7300,990,92,1,990,0.00624123,"2: 838, 3: 172, 1: 72","2: 397, 1: 347, 3: 338","1: 39, 2: 2","2: 395, 3: 338, 1: 308"
importance_merged_150_cutoff_balanced_importance/article_3,1082,1082,0,7300,990,92,1,990,0.00624123,"2: 838, 3: 172, 1: 72","2: 397, 1: 347, 3: 338","1: 39, 2: 2","2: 395, 3: 338, 1: 308"
split_unbalanced/article_14,1030,1030,0,4727,793,237,7,778,0.00445998,"2: 903, 1: 85, 3: 42","2: 388, 1: 344, 3: 298","1: 76, 2: 22, 3: 4","2: 366, 3: 294, 1: 268"
importance_merged_100_cutoff_unbalanced/article_14,1030,1030,0,4727,793,237,7,778,0.00445998,"2: 903, 1: 85, 3: 42","2: 388, 1: 344, 3: 298","1: 76, 2: 22, 3: 4","2: 366, 3: 294, 1: 268"
importance_merged_150_cutoff_unbalanced/article_14,1030,1030,0,4727,793,237,7,778,0.00445998,"2: 903, 1: 85, 3: 42","2: 388, 1: 344, 3: 298","1: 76, 2: 22, 3: 4","2: 366, 3: 294, 1: 268"
split_balanced_importance/article_P1,1021,1021,0,4307,792,229,4,786,0.00413570,"2: 827, 1: 103, 3: 91","3: 368, 1: 363, 2: 290","1: 55, 2: 7, 3: 2","3: 366, 1: 308, 2: 283"
importance_merged_100_cutoff_balanced_importance/article_P1,1021,1021,0,4307,792,229,4,786,0.00413570,"2: 827, 1: 103, 3: 91","3: 368, 1: 363, 2: 290","1: 55, 2: 7, 3: 2","3: 366, 1: 308, 2: 283"
importance_merged_150_cutoff_balanced_importance/article_P1,1021,1021,0,4307,792,229,4,786,0.00413570,"2: 827, 1: 103, 3: 91","3: 368, 1: 363, 2: 290","1: 55, 2: 7, 3: 2","3: 366, 1: 308, 2: 283"
split_balanced_importance/article_5,981,981,0,5216,843,138,4,837,0.00542553,"2: 751, 3: 159, 1: 71","3: 339, 2: 325, 1: 317","1: 76, 2: 13, 3: 4","3: 335, 2: 312, 1: 241"
importance_merged_100_cutoff_balanced_importance/article_5,981,981,0,5216,843,138,4,837,0.00542553,"2: 751, 3: 159, 1: 71","3: 339, 2: 325, 1: 317","1: 76, 2: 13, 3: 4","3: 335, 2: 312, 1: 241"
importance_merged_150_cutoff_balanced_importance/article_5,981,981,0,5216,843,138,4,837,0.00542553,"2: 751, 3: 159, 1: 71","3: 339, 2: 325, 1: 317","1: 76, 2: 13, 3: 4","3: 335, 2: 312, 1: 241"
split_balanced_importance/article_13,948,948,0,3311,756,192,2,754,0.00368808,"2: 725, 3: 155, 1: 68","1: 380, 3: 317, 2: 251","1: 70, 2: 13","3: 317, 1: 310, 2: 238"
importance_merged_100_cutoff_balanced_importance/article_13,948,948,0,3311,756,192,2,754,0.00368808,"2: 725, 3: 155, 1: 68","1: 380, 3: 317, 2: 251","1: 70, 2: 13","3: 317, 1: 310, 2: 238"
importance_merged_150_cutoff_balanced_importance/article_13,948,948,0,3311,756,192,2,754,0.00368808,"2: 725, 3: 155, 1: 68","1: 380, 3: 317, 2: 251","1: 70, 2: 13","3: 317, 1: 310, 2: 238"
split_unbalanced/article_11,854,854,0,4740,773,81,3,768,0.00650686,"3: 441, 2: 389, 1: 24","3: 561, 2: 195, 1: 98","1: 19, 2: 2","3: 561, 2: 193, 1: 79"
importance_merged_100_cutoff_unbalanced/article_11,854,854,0,4740,773,81,3,768,0.00650686,"3: 441, 2: 389, 1: 24","3: 561, 2: 195, 1: 98","1: 19, 2: 2","3: 561, 2: 193, 1: 79"
importance_merged_150_cutoff_unbalanced/article_11,854,854,0,4740,773,81,3,768,0.00650686,"3: 441, 2: 389, 1: 24","3: 561, 2: 195, 1: 98","1: 19, 2: 2","3: 561, 2: 193, 1: 79"
split_unbalanced/article_39,852,852,0,21,14,838,5,5,0.00002896,"2: 843, 1: 7, 3: 2","3: 824, 1: 21, 2: 7","3: 8, 1: 6","3: 816, 1: 15, 2: 7"
importance_merged_100_cutoff_unbalanced/article_39,852,852,0,21,14,838,5,5,0.00002896,"2: 843, 1: 7, 3: 2","3: 824, 1: 21, 2: 7","3: 8, 1: 6","3: 816, 1: 15, 2: 7"
importance_merged_150_cutoff_unbalanced/article_39,852,852,0,21,14,838,5,5,0.00002896,"2: 843, 1: 7, 3: 2","3: 824, 1: 21, 2: 7","3: 8, 1: 6","3: 816, 1: 15, 2: 7"
split_balanced_doctypebranch/article_6,730,730,0,1825,507,223,2,505,0.00342936,"2: 267, 3: 260, 1: 203","3: 460, 1: 208, 2: 62","1: 18, 2: 7","3: 460, 1: 190, 2: 55"
importance_merged_100_cutoff_balanced_doctypebranch/article_6,730,730,0,1825,507,223,2,505,0.00342936,"2: 267, 3: 260, 1: 203","3: 460, 1: 208, 2: 62","1: 18, 2: 7","3: 460, 1: 190, 2: 55"
importance_merged_150_cutoff_balanced_doctypebranch/article_6,730,730,0,1825,507,223,2,505,0.00342936,"2: 267, 3: 260, 1: 203","3: 460, 1: 208, 2: 62","1: 18, 2: 7","3: 460, 1: 190, 2: 55"
split_balanced_importance/article_10,603,603,0,3774,497,106,2,495,0.01039652,"2: 483, 1: 78, 3: 42","1: 291, 2: 220, 3: 92","1: 56, 2: 14","1: 235, 2: 206, 3: 92"
importance_merged_100_cutoff_balanced_importance/article_10,603,603,0,3774,497,106,2,495,0.01039652,"2: 483, 1: 78, 3: 42","1: 291, 2: 220, 3: 92","1: 56, 2: 14","1: 235, 2: 206, 3: 92"
importance_merged_150_cutoff_balanced_importance/article_10,603,603,0,3774,497,106,2,495,0.01039652,"2: 483, 1: 78, 3: 42","1: 291, 2: 220, 3: 92","1: 56, 2: 14","1: 235, 2: 206, 3: 92"
split_unbalanced/article_38,594,594,0,562,108,486,1,108,0.00159549,"2: 578, 1: 11, 3: 5","3: 501, 2: 53, 1: 40","1: 3, 3: 1","3: 500, 2: 53, 1: 37"
importance_merged_100_cutoff_unbalanced/article_38,594,594,0,562,108,486,1,108,0.00159549,"2: 578, 1: 11, 3: 5","3: 501, 2: 53, 1: 40","1: 3, 3: 1","3: 500, 2: 53, 1: 37"
importance_merged_150_cutoff_unbalanced/article_38,594,594,0,562,108,486,1,108,0.00159549,"2: 578, 1: 11, 3: 5","3: 501, 2: 53, 1: 40","1: 3, 3: 1","3: 500, 2: 53, 1: 37"
split_balanced_importance/article_29,557,557,0,238,250,307,41,111,0.00076851,"2: 549, 1: 8","3: 201, 2: 196, 1: 160",,"3: 201, 2: 196, 1: 160"
importance_merged_100_cutoff_balanced_importance/article_29,557,557,0,238,250,307,41,111,0.00076851,"2: 549, 1: 8","3: 201, 2: 196, 1: 160",,"3: 201, 2: 196, 1: 160"
importance_merged_150_cutoff_balanced_importance/article_29,557,557,0,238,250,307,41,111,0.00076851,"2: 549, 1: 8","3: 201, 2: 196, 1: 160",,"3: 201, 2: 196, 1: 160"
split_balanced_doctypebranch/article_41,544,544,0,3049,463,81,2,461,0.01032188,"1: 303, 2: 231, 3: 10","1: 320, 3: 115, 2: 109","1: 24, 2: 8","1: 296, 3: 115, 2: 101"
importance_merged_100_cutoff_balanced_doctypebranch/article_41,544,544,0,3049,463,81,2,461,0.01032188,"1: 303, 2: 231, 3: 10","1: 320, 3: 115, 2: 109","1: 24, 2: 8","1: 296, 3: 115, 2: 101"
importance_merged_150_cutoff_balanced_doctypebranch/article_41,544,544,0,3049,463,81,2,461,0.01032188,"1: 303, 2: 231, 3: 10","1: 320, 3: 115, 2: 109","1: 24, 2: 8","1: 296, 3: 115, 2: 101"
split_balanced_importance/article_34,531,531,0,1810,462,69,7,449,0.00643144,"2: 448, 1: 72, 3: 11","1: 266, 2: 220, 3: 45","1: 41, 2: 5, 3: 1","1: 225, 2: 215, 3: 44"
importance_merged_100_cutoff_balanced_importance/article_34,531,531,0,1810,462,69,7,449,0.00643144,"2: 448, 1: 72, 3: 11","1: 266, 2: 220, 3: 45","1: 41, 2: 5, 3: 1","1: 225, 2: 215, 3: 44"
importance_merged_150_cutoff_balanced_importance/article_34,531,531,0,1810,462,69,7,449,0.00643144,"2: 448, 1: 72, 3: 11","1: 266, 2: 220, 3: 45","1: 41, 2: 5, 3: 1","1: 225, 2: 215, 3: 44"
split_balanced_importance/article_14,528,528,0,2356,414,114,3,409,0.00846702,"2: 444, 1: 82, 3: 2","1: 344, 2: 155, 3: 29","1: 76, 2: 10, 3: 1","1: 268, 2: 145, 3: 28"
importance_merged_100_cutoff_balanced_importance/article_14,528,528,0,2356,414,114,3,409,0.00846702,"2: 444, 1: 82, 3: 2","1: 344, 2: 155, 3: 29","1: 76, 2: 10, 3: 1","1: 268, 2: 145, 3: 28"
importance_merged_150_cutoff_balanced_importance/article_14,528,528,0,2356,414,114,3,409,0.00846702,"2: 444, 1: 82, 3: 2","1: 344, 2: 155, 3: 29","1: 76, 2: 10, 3: 1","1: 268, 2: 145, 3: 28"
split_balanced_importance/article_2,427,427,0,3628,399,28,2,397,0.01994481,"2: 355, 1: 48, 3: 24","1: 187, 2: 161, 3: 79","1: 12, 2: 5","1: 175, 2: 156, 3: 79"
importance_merged_100_cutoff_balanced_importance/article_2,427,427,0,3628,399,28,2,397,0.01994481,"2: 355, 1: 48, 3: 24","1: 187, 2: 161, 3: 79","1: 12, 2: 5","1: 175, 2: 156, 3: 79"
importance_merged_150_cutoff_balanced_importance/article_2,427,427,0,3628,399,28,2,397,0.01994481,"2: 355, 1: 48, 3: 24","1: 187, 2: 161, 3: 79","1: 12, 2: 5","1: 175, 2: 156, 3: 79"
split_unbalanced/article_P7,380,380,0,923,343,37,3,339,0.00640883,"3: 218, 2: 151, 1: 11","3: 262, 2: 82, 1: 36","1: 2, 3: 1, 2: 1","3: 261, 2: 81, 1: 34"
importance_merged_100_cutoff_unbalanced/article_P7,380,380,0,923,343,37,3,339,0.00640883,"3: 218, 2: 151, 1: 11","3: 262, 2: 82, 1: 36","1: 2, 3: 1, 2: 1","3: 261, 2: 81, 1: 34"
importance_merged_150_cutoff_unbalanced/article_P7,380,380,0,923,343,37,3,339,0.00640883,"3: 218, 2: 151, 1: 11","3: 262, 2: 82, 1: 36","1: 2, 3: 1, 2: 1","3: 261, 2: 81, 1: 34"
split_unbalanced/article_46,368,368,0,1996,346,22,2,344,0.01477905,"2: 323, 1: 44, 3: 1","2: 219, 1: 134, 3: 15","1: 12, 3: 5","2: 219, 1: 122, 3: 10"
importance_merged_100_cutoff_unbalanced/article_46,368,368,0,1996,346,22,2,344,0.01477905,"2: 323, 1: 44, 3: 1","2: 219, 1: 134, 3: 15","1: 12, 3: 5","2: 219, 1: 122, 3: 10"
