ecli,references
ECLI:CE:ECHR:2001:0227JUD004438598,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004443998,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004777799,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004443698,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004444598,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004440698,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004443798,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0227JUD004777399,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD002249393,['ECLI:CE:ECHR:1999:1216JUD002488894']
ECLI:CE:ECHR:2001:0301JUD004362298,['ECLI:CE:ECHR:2002:0418JUD004362298']
ECLI:CE:ECHR:2001:0301JUD004696499,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004697699,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004698099,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004494398,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:0301JUD004695799,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004695899,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004696099,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004696599,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004697399,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004695999,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004696299,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004696399,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004696199,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004696999,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004697899,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004696699,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004696799,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004696899,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004697199,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004697499,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004697599,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004697799,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004697999,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004778499,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004778199,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD002989896,"['ECLI:CE:ECHR:1998:0325JUD002310393', 'ECLI:CE:ECHR:1999:0325JUD002544494']"
ECLI:CE:ECHR:2001:0301JUD004777999,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004120698,"['ECLI:CE:ECHR:1998:0325JUD002310393', 'ECLI:CE:ECHR:1999:0325JUD002544494']"
ECLI:CE:ECHR:2001:0301JUD004778099,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD003887897,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:0301JUD004778599,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004778699,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004252098,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD003948798,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004235198,"['ECLI:CE:ECHR:1999:0325JUD002544494', 'ECLI:CE:ECHR:2000:0208JUD002736295']"
ECLI:CE:ECHR:2001:0301JUD004445798,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004446698,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004446298,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004446598,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004451198,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004449098,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004446898,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004447098,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004447298,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004448198,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004450498,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004452798,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004448898,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004449198,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004449498,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004450098,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004450598,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004451798,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004452898,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004453498,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004446498,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004446198,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0301JUD004448698,['ECLI:CE:ECHR:1999:0728JUD003488497']
ECLI:CE:ECHR:2001:0308JUD003930098,['ECLI:CE:ECHR:2000:0627JUD003097996']
ECLI:CE:ECHR:2001:0320JUD003359196,"['ECLI:CE:ECHR:2000:0801JUD003878197', 'ECLI:CE:ECHR:2000:1026JUD003021096', 'ECLI:CE:ECHR:1999:1109JUD003778697']"
ECLI:CE:ECHR:2001:0320JUD003498997,"['ECLI:CE:ECHR:1999:0121JUD002610395', 'ECLI:CE:ECHR:1999:1214JUD003479197', 'ECLI:CE:ECHR:2001:0123JUD002834295']"
ECLI:CE:ECHR:2001:0320JUD003644997,"['ECLI:CE:ECHR:1999:1214JUD003479197', 'ECLI:CE:ECHR:1999:0121JUD002610395']"
ECLI:CE:ECHR:2001:0327JUD004371398,['ECLI:CE:ECHR:2000:0627JUD003097996']
ECLI:CE:ECHR:2001:0327JUD004171598,"['ECLI:CE:ECHR:1999:0325JUD002544494', 'ECLI:CE:ECHR:2000:0926JUD003363496']"
ECLI:CE:ECHR:2001:0410JUD002981396,['ECLI:CE:ECHR:2000:1019JUD003110796']
ECLI:CE:ECHR:2001:0410JUD003644597,"['ECLI:CE:ECHR:1999:0325JUD003142396', 'ECLI:CE:ECHR:2000:0321JUD004011198', 'ECLI:CE:ECHR:2000:1107JUD004589199', 'ECLI:CE:ECHR:1999:1014JUD003768097', 'ECLI:CE:ECHR:1999:0325JUD003110796']"
ECLI:CE:ECHR:2001:0424JUD003264696,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:0426JUD003520797,"['ECLI:CE:ECHR:1998:0325JUD002310393', 'ECLI:CE:ECHR:1999:0325JUD002544494']"
ECLI:CE:ECHR:2001:0426JUD003999798,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:0426JUD004045898,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:0426JUD004066298,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:0426JUD004069398,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:0426JUD004127598,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:0426JUD004335098,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:0426JUD004363598,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:0426JUD004497698,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:0426JUD004548099,['ECLI:CE:ECHR:1999:0325JUD002544494']
ECLI:CE:ECHR:2001:0426JUD004768199,"['ECLI:CE:ECHR:1998:0325JUD002310393', 'ECLI:CE:ECHR:1999:0325JUD002544494']"
ECLI:CE:ECHR:2001:0426JUD003291196,['ECLI:CE:ECHR:2000:0208JUD002736295']
ECLI:CE:ECHR:2001:0503JUD002791895,"['ECLI:CE:ECHR:2000:0627JUD003097996', 'ECLI:CE:ECHR:2000:1026JUD003021096']"
ECLI:CE:ECHR:2001:0517JUD004176198,"['ECLI:CE:ECHR:1999:0325JUD002544494', 'ECLI:CE:ECHR:1999:0728JUD003488497']"
ECLI:CE:ECHR:2001:0522JUD002227993,"['ECLI:CE:ECHR:2001:0301JUD002249393', 'ECLI:CE:ECHR:2000:0711JUD002086992', 'ECLI:CE:ECHR:1999:0728JUD002580394', 'ECLI:CE:ECHR:2000:0720JUD003395196', 'ECLI:CE:ECHR:2000:0406JUD002677295', 'ECLI:CE:ECHR:2000:1128JUD002946295', 'ECLI:CE:ECHR:2000:0627JUD002198693', 'ECLI:CE:ECHR:1999:0708JUD002491994']"
ECLI:CE:ECHR:2001:0531JUD003759197,"['ECLI:CE:ECHR:2000:0225JUD002935795', 'ECLI:CE:ECHR:1999:0325JUD002544494']"
