ecli,references
ECLI:CE:ECHR:2012:0131JUD006122608,['ECLI:CE:ECHR:2011:0301JUD001189208']
ECLI:CE:ECHR:2012:0202JUD000915209,['ECLI:CE:ECHR:2011:0121JUD003069609']
ECLI:CE:ECHR:2012:0202JUD002024008,[]
ECLI:CE:ECHR:2012:0207JUD000012404,['ECLI:CE:ECHR:2010:1021JUD003811204']
ECLI:CE:ECHR:2012:0207JUD000372708,[]
ECLI:CE:ECHR:2012:0207JUD002013405,[]
ECLI:CE:ECHR:2012:0207JUD002886903,[]
ECLI:CE:ECHR:2012:0214JUD000215110,['ECLI:CE:ECHR:2011:0524JUD006616709']
ECLI:CE:ECHR:2012:0214JUD000709406,['ECLI:CE:ECHR:2011:0121JUD003069609']
ECLI:CE:ECHR:2012:0214JUD000929606,[]
ECLI:CE:ECHR:2012:0214JUD001346906,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2011:1011JUD003095110', 'ECLI:CE:ECHR:2012:1106JUD003223804']"
ECLI:CE:ECHR:2012:0214JUD001797207,[]
ECLI:CE:ECHR:2012:0214JUD003196507,[]
ECLI:CE:ECHR:2012:0214JUD003543005,[]
ECLI:CE:ECHR:2012:0216JUD001698404,[]
ECLI:CE:ECHR:2012:0216JUD002394404,[]
ECLI:CE:ECHR:2012:0216JUD003472508,['ECLI:CE:ECHR:2011:0421JUD004231004']
ECLI:CE:ECHR:2012:0221JUD001651106,[]
ECLI:CE:ECHR:2012:0221JUD002694506,['ECLI:CE:ECHR:2011:0419JUD002308707']
ECLI:CE:ECHR:2012:0221JUD003213108,[]
ECLI:CE:ECHR:2012:0223JUD002724409,['ECLI:CE:ECHR:2011:1103JUD003201007']
ECLI:CE:ECHR:2012:0223JUD002776509,['ECLI:CE:ECHR:2011:0121JUD003069609']
ECLI:CE:ECHR:2012:0223JUD002922603,[]
ECLI:CE:ECHR:2012:0223JUD003975805,[]
ECLI:CE:ECHR:2012:0228JUD000548805,[]
ECLI:CE:ECHR:2012:0228JUD001146309,"['ECLI:CE:ECHR:2011:0121JUD003069609', 'ECLI:CE:ECHR:2010:1216JUD001424805']"
ECLI:CE:ECHR:2012:0228JUD001742305,['ECLI:CE:ECHR:2011:0329JUD002344503']
ECLI:CE:ECHR:2012:0228JUD001846906,[]
ECLI:CE:ECHR:2012:0301JUD001522605,[]
ECLI:CE:ECHR:2012:0306JUD002356307,"['ECLI:CE:ECHR:2010:1021JUD003811204', 'ECLI:CE:ECHR:2011:1018JUD001317503']"
ECLI:CE:ECHR:2012:0308JUD001416609,['ECLI:CE:ECHR:2011:0106JUD003493204']
ECLI:CE:ECHR:2012:0313DEC004517504,"['ECLI:CE:ECHR:2011:0621JUD002436004', 'ECLI:CE:ECHR:2010:1021JUD003811204']"
ECLI:CE:ECHR:2012:0313JUD000454710,['ECLI:CE:ECHR:2011:0121JUD003069609']
ECLI:CE:ECHR:2012:0313JUD000560504,"['ECLI:CE:ECHR:2012:0117JUD000914607', 'ECLI:CE:ECHR:2010:1125JUD003025103']"
ECLI:CE:ECHR:2012:0313JUD002378008,[]
ECLI:CE:ECHR:2012:0313JUD002626605,[]
ECLI:CE:ECHR:2012:0313JUD003206005,[]
ECLI:CE:ECHR:2012:0313JUD004096204,['ECLI:CE:ECHR:2010:1102JUD002127203']
ECLI:CE:ECHR:2012:0320DEC001845007,[]
ECLI:CE:ECHR:2012:0320JUD000457206,['ECLI:CE:ECHR:2011:0705JUD004304405']
ECLI:CE:ECHR:2012:0320JUD002669205,['ECLI:CE:ECHR:2011:0705JUD004304405']
