ecli,references
ECLI:CE:ECHR:2011:0308DEC000348502,['ECLI:CE:ECHR:2010:1012JUD001591008']
ECLI:CE:ECHR:2011:0308JUD001653006,"['ECLI:CE:ECHR:2011:0315JUD001081005', 'ECLI:CE:ECHR:2010:1207JUD003290707']"
ECLI:CE:ECHR:2011:0310JUD000270010,['ECLI:CE:ECHR:2011:0315JUD004313405']
ECLI:CE:ECHR:2011:0315JUD000203407,"['ECLI:CE:ECHR:2012:0207JUD004066008', 'ECLI:CE:ECHR:2011:0210JUD002485707', 'ECLI:CE:ECHR:2012:0110JUD003470207', 'ECLI:CE:ECHR:2013:0919JUD000877210']"
ECLI:CE:ECHR:2011:0322JUD003800304,['']
ECLI:CE:ECHR:2011:0324JUD002345802,"['', 'ECLI:CE:ECHR:2012:0117JUD000914607']"
ECLI:CE:ECHR:2011:0329DEC000996508,['ECLI:CE:ECHR:2013:0122JUD004293110']
ECLI:CE:ECHR:2011:0329JUD001348807,"['ECLI:CE:ECHR:2010:1207JUD003572004', 'ECLI:CE:ECHR:2011:1018JUD000907407']"
ECLI:CE:ECHR:2011:0329JUD001743703,['ECLI:CE:ECHR:2011:0208JUD002795208']
ECLI:CE:ECHR:2011:0329JUD002344503,"['', 'ECLI:CE:ECHR:2012:0424JUD002313907', 'ECLI:CE:ECHR:2011:1122JUD002316409', 'ECLI:CE:ECHR:2013:0625JUD003159507', 'ECLI:CE:ECHR:2013:0716JUD000154407', 'ECLI:CE:ECHR:2011:1220JUD000708907', 'ECLI:CE:ECHR:2011:0301JUD002733504']"
ECLI:CE:ECHR:2011:0329JUD003124205,"['', 'ECLI:CE:ECHR:2010:1028JUD002328404', 'ECLI:CE:ECHR:2011:1122JUD002316409', 'ECLI:CE:ECHR:2013:0716JUD000154407', 'ECLI:CE:ECHR:2011:1220JUD000708907', 'ECLI:CE:ECHR:2011:0301JUD002733504']"
ECLI:CE:ECHR:2011:0329JUD003394905,"['ECLI:CE:ECHR:2013:1015JUD002227904', '', 'ECLI:CE:ECHR:2011:0201JUD001415502']"
ECLI:CE:ECHR:2011:0329JUD004735708,['']
ECLI:CE:ECHR:2011:0331JUD000642807,['ECLI:CE:ECHR:2011:0208JUD002795208']
ECLI:CE:ECHR:2011:0331JUD006084610,"['', 'ECLI:CE:ECHR:2012:1115JUD004805706', 'ECLI:CE:ECHR:2011:0726JUD002915709']"
ECLI:CE:ECHR:2011:0405JUD000605107,"['ECLI:CE:ECHR:2012:0522JUD000012605', 'ECLI:CE:ECHR:2012:0717JUD006505009', 'ECLI:CE:ECHR:2011:0118JUD000012605']"
ECLI:CE:ECHR:2011:0405JUD000868708,"['', 'ECLI:CE:ECHR:2010:0722JUD001218608', 'ECLI:CE:ECHR:2008:0124JUD002978703', 'ECLI:CE:ECHR:2011:0121JUD003069609']"
ECLI:CE:ECHR:2011:0405JUD001456905,"['ECLI:CE:ECHR:2012:1115JUD004805706', 'ECLI:CE:ECHR:2010:1104JUD003458807']"
ECLI:CE:ECHR:2011:0405JUD002148203,['ECLI:CE:ECHR:2010:0928JUD004258306']
ECLI:CE:ECHR:2011:0405JUD002677107,['']
ECLI:CE:ECHR:2011:0412JUD001297607,['ECLI:CE:ECHR:2011:1018JUD004156107']
ECLI:CE:ECHR:2011:0412JUD002118809,"['ECLI:CE:ECHR:2012:0522JUD000012605', 'ECLI:CE:ECHR:2012:0717JUD006505009', 'ECLI:CE:ECHR:2011:0118JUD000012605']"
ECLI:CE:ECHR:2011:0412JUD004213606,"['', 'ECLI:CE:ECHR:2010:1026JUD000401807']"
ECLI:CE:ECHR:2011:0419JUD000331604,"['ECLI:CE:ECHR:2010:1012JUD000018406', 'ECLI:CE:ECHR:2011:0419JUD002238503']"
ECLI:CE:ECHR:2011:0419JUD002238503,"['', 'ECLI:CE:ECHR:2010:1012JUD000018406', 'ECLI:CE:ECHR:2010:1102JUD003828108', 'ECLI:CE:ECHR:2013:0611JUD006235309', 'ECLI:CE:ECHR:2012:0207JUD004066008', 'ECLI:CE:ECHR:2013:0919JUD000877210']"
ECLI:CE:ECHR:2011:0419JUD003318608,['ECLI:CE:ECHR:2010:1021JUD005305108']
ECLI:CE:ECHR:2011:0421JUD004231004,"['', 'ECLI:CE:ECHR:2010:1014JUD003871704', 'ECLI:CE:ECHR:2011:1122JUD002316409', 'ECLI:CE:ECHR:2013:0725JUD001108206', 'ECLI:CE:ECHR:2013:0716JUD000154407', 'ECLI:CE:ECHR:2011:1220JUD000708907', 'ECLI:CE:ECHR:2011:0301JUD002733504', 'ECLI:CE:ECHR:2011:0210JUD004010702']"
ECLI:CE:ECHR:2011:0426JUD002509107,"['', 'ECLI:CE:ECHR:2010:1021JUD001744404']"
ECLI:CE:ECHR:2011:0503JUD000150302,"['', 'ECLI:CE:ECHR:2012:0424JUD002313907', 'ECLI:CE:ECHR:2013:0625JUD003159507']"
ECLI:CE:ECHR:2011:0503JUD001717004,"['', 'ECLI:CE:ECHR:2012:0424JUD002313907', 'ECLI:CE:ECHR:2013:0625JUD003159507', 'ECLI:CE:ECHR:2010:1202JUD001556306', 'ECLI:CE:ECHR:2011:0503JUD000150302']"
ECLI:CE:ECHR:2011:0503JUD003002402,"['ECLI:CE:ECHR:2010:1116JUD000092605', 'ECLI:CE:ECHR:2011:0503JUD003002402', 'ECLI:CE:ECHR:2010:1014JUD002427103']"
ECLI:CE:ECHR:2011:0503JUD003537204,['']
ECLI:CE:ECHR:2011:0503JUD004100904,['']
ECLI:CE:ECHR:2011:0510JUD000451209,"['ECLI:CE:ECHR:2010:1014JUD000143906', 'ECLI:CE:ECHR:2010:1216JUD001424805']"
ECLI:CE:ECHR:2011:0510JUD002686605,"['ECLI:CE:ECHR:2012:0522JUD000012605', 'ECLI:CE:ECHR:2012:0117JUD000914607', 'ECLI:CE:ECHR:2012:0717JUD006505009', 'ECLI:CE:ECHR:2011:0118JUD000012605']"
ECLI:CE:ECHR:2011:0510JUD003347508,['ECLI:CE:ECHR:2010:1019JUD001987503']
ECLI:CE:ECHR:2011:0510JUD003734605,"['ECLI:CE:ECHR:2010:1021JUD003811204', 'ECLI:CE:ECHR:2010:1116JUD000092605', 'ECLI:CE:ECHR:2010:0902JUD004634406', 'ECLI:CE:ECHR:2012:0228JUD001896703', 'ECLI:CE:ECHR:2010:1221JUD005097308', 'ECLI:CE:ECHR:2010:0923JUD003478402', 'ECLI:CE:ECHR:2010:0930JUD000293004', 'ECLI:CE:ECHR:2010:0902JUD006541701', 'ECLI:CE:ECHR:2010:1221JUD004586707']"
