Network,Initial Nodes,Valid Nodes,Removed Nodes,Total Edges,Connected Nodes,Non-Connected Nodes,Connected Components,Biggest Component Size,Density,Doctypebranch Distribution,Importance Distribution,Importance Pre-1998,Importance Post-1998
balanced-importance-article_6-3-b,61,61,0,10,9,52,2,7,0.00273224,"2: 56, 1: 4, 3: 1","2: 21, 1: 18, 3: 15, 4: 7","2: 14, 3: 2","1: 18, 3: 13, 4: 7, 2: 7"
balanced-importance-article_5-5,61,61,0,14,12,49,1,12,0.00382514,"2: 44, 3: 9, 1: 8","1: 17, 2: 16, 3: 15, 4: 13",2: 11,"1: 17, 3: 15, 4: 13, 2: 5"
balanced-importance-article_P1-3,60,60,0,19,14,46,1,14,0.00536723,"2: 44, 1: 15, 3: 1","1: 29, 2: 21, 3: 8, 4: 2",2: 5,"1: 29, 2: 16, 3: 8, 4: 2"
balanced-doctypebranch-article_11-1,60,60,0,2,4,56,2,2,0.00056497,"3: 31, 1: 18, 2: 11","4: 34, 1: 16, 3: 8, 2: 2",2: 2,"4: 34, 1: 16, 3: 8"
balanced-importance-article_2-2,59,59,0,27,20,39,3,15,0.00789012,"2: 49, 1: 9, 3: 1","2: 21, 3: 20, 1: 17, 4: 1","2: 4, 3: 1","3: 19, 2: 17, 1: 17, 4: 1"
balanced-importance-article_5-1-f,56,56,0,32,25,31,1,25,0.01038961,"2: 46, 1: 8, 3: 2","3: 21, 1: 16, 4: 10, 2: 9",2: 2,"3: 21, 1: 16, 4: 10, 2: 7"
unbalanced-article_12,55,55,0,7,9,46,2,6,0.00235690,"2: 46, 1: 7, 3: 2","3: 26, 1: 13, 2: 12, 4: 4",2: 7,"3: 26, 1: 13, 2: 5, 4: 4"
balanced-importance-article_9-2,54,54,0,32,21,33,1,21,0.01118099,"2: 46, 1: 8","1: 24, 2: 15, 3: 13, 4: 2","2: 3, 4: 1","1: 24, 3: 13, 2: 12, 4: 1"
unbalanced-article_P4-2-3,52,52,0,59,25,27,1,25,0.02224736,"2: 48, 1: 3, 3: 1","3: 29, 1: 16, 2: 4, 4: 3",2: 1,"3: 29, 1: 16, 2: 3, 4: 3"
balanced-doctypebranch-article_46,51,51,0,6,7,44,1,7,0.00235294,"1: 44, 2: 7","1: 40, 2: 7, 3: 4",2: 4,"1: 40, 3: 4, 2: 3"
unbalanced-article_5-1-b,51,51,0,19,12,39,1,12,0.00745098,"2: 49, 1: 1, 3: 1","3: 25, 2: 15, 4: 9, 1: 2","2: 12, 3: 3, 4: 1","3: 22, 4: 8, 2: 3, 1: 2"
balanced-importance-article_18,50,50,0,0,0,50,0,0,0.00000000,"2: 36, 1: 14","2: 23, 1: 16, 3: 11","2: 13, 3: 2","1: 16, 2: 10, 3: 9"
balanced-importance-article_5-2,50,50,0,4,5,45,1,5,0.00163265,"2: 40, 1: 8, 3: 2","2: 24, 1: 13, 3: 10, 4: 3",2: 12,"1: 13, 2: 12, 3: 10, 4: 3"
